,trips_in_first_30_days,avg_rating_of_driver,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,city_Astapor,city_King's Landing,city_Winterfell,phone_Android,phone_iPhone
0,0.0,1.0,0.0,True,1.0,0.009940357852882704,1.0,1,0,0,0,1
1,0.16,0.9750000000000001,0.01,False,0.9490000000000001,0.014165009940357853,0.925,0,0,1,0,1
2,0.016,0.875,0.0,False,0.5,0.07436630218687873,1.0,0,0,1,0,1
3,0.14400000000000002,0.6,0.167,True,0.7220000000000001,0.012176938369781311,0.9750000000000001,0,0,1,0,1
4,0.032,0.75,0.0,False,0.25,0.01081013916500994,0.925,0,0,1,0,1
5,0.064,1.0,0.2,True,0.629,0.018389662027833,0.9750000000000001,0,1,0,0,1
6,0.04,0.7,0.04,True,0.84,0.02559642147117296,0.925,0,0,1,0,1
7,0.0,0.925,0.0,False,0.833,0.017954771371769384,1.0,0,0,1,0,1
8,0.008,0.925,0.0,True,0.25,0.03920228628230616,0.625,1,0,0,0,1
9,0.008,0.75,0.0,False,0.0,0.018141153081510934,1.0,0,0,1,1,0
10,0.024,0.825,0.33299999999999996,False,0.5,0.021371769383697812,0.825,1,0,0,0,1
11,0.024,1.0,0.25,True,0.5,0.023546222664015903,0.9750000000000001,1,0,0,0,1
12,0.0,1.0,0.0,True,0.5,0.14320328031809146,1.0,0,1,0,0,1
13,0.0,1.0,0.0,False,1.0,0.0038518886679920475,1.0,0,1,0,0,1
14,0.04,1.0,0.14300000000000002,True,0.5710000000000001,0.02541003976143141,1.0,0,0,1,0,1
15,0.04,1.0,0.0,False,0.308,0.018762425447316104,0.925,0,1,0,0,1
16,0.10400000000000001,0.7,0.167,True,0.524,0.02777087475149105,0.95,1,0,0,0,1
17,0.04,0.8500000000000001,0.10800000000000001,False,0.405,0.029075546719681905,0.9750000000000001,0,0,1,1,0
18,0.008,1.0,1.0,False,0.0,0.0356610337972167,1.0,1,0,0,1,0
19,0.008,0.5,0.0,False,0.0,0.07349652087475149,1.0,0,0,1,0,1
20,0.024,0.875,0.0,False,0.636,0.021061133200795227,0.925,1,0,0,1,0
21,0.024,0.0,0.0,True,0.667,0.027273856858846913,1.0,0,0,1,0,1
22,0.0,0.95,0.063,True,0.813,0.022614314115308152,0.9750000000000001,1,0,0,1,0
23,0.0,1.0,0.0,False,1.0,0.03584741550695825,0.5,0,0,1,0,1
24,0.0,0.9750000000000001,0.0,False,1.0,0.02255218687872763,0.75,1,0,0,0,1
25,0.024,0.925,0.0,True,0.7140000000000001,0.020315606361829025,0.9750000000000001,0,1,0,0,1
26,0.07200000000000001,0.925,0.34299999999999997,False,0.657,0.02460238568588469,0.95,1,0,0,0,1
27,0.048,0.8999999999999999,0.5,False,0.5,0.06399105367793241,0.875,0,0,1,1,0
28,0.024,0.875,0.0,False,0.5,0.061505964214711724,1.0,0,1,0,1,0
29,0.016,0.25,0.0,False,0.0,0.024167495029821073,0.75,0,0,1,0,1
30,0.016,1.0,1.0,False,0.0,0.009070576540755467,1.0,0,1,0,0,1
31,0.0,0.9750000000000001,0.0,False,0.0,0.019694333996023855,1.0,1,0,0,0,1
32,0.008,0.75,0.0,False,0.0,0.018016898608349898,1.0,1,0,0,1,0
33,0.032,1.0,0.25,True,0.0,0.03361083499005964,0.95,0,0,1,0,1
34,0.008,1.0,0.0,False,1.0,0.018638170974155068,1.0,0,0,1,0,1
35,0.008,1.0,0.0,False,0.33299999999999996,0.097477634194831,0.825,0,1,0,0,1
36,0.016,1.0,0.0,True,0.364,0.02143389662027833,0.8999999999999999,0,0,1,0,1
37,0.024,0.8500000000000001,0.222,False,0.33299999999999996,0.02099900596421471,1.0,0,0,1,0,1
38,0.048,0.8999999999999999,0.0,False,0.32,0.02497514910536779,0.875,0,0,1,0,1
39,0.016,0.875,0.0,False,0.33299999999999996,0.05833747514910537,0.825,0,0,1,0,1
40,0.0,1.0,0.0,False,0.0,0.017892644135188866,0.875,1,0,0,1,0
41,0.008,0.0,0.0,True,0.0,0.015656063618290257,1.0,0,0,1,1,0
42,0.008,0.9750000000000001,1.0,False,0.0,0.08536282306163022,1.0,0,1,0,0,1
43,0.0,0.75,0.0,False,1.0,0.04435884691848906,1.0,0,0,1,1,0
44,0.0,0.825,0.33299999999999996,False,0.0,0.006958250497017893,0.925,1,0,0,1,0
45,0.0,0.9750000000000001,0.0,True,1.0,0.01118290258449304,0.875,0,0,1,0,1
46,0.0,0.8500000000000001,0.111,False,0.667,0.024788767395626243,0.9750000000000001,1,0,0,0,1
47,0.0,0.625,0.0,True,0.33299999999999996,0.054982604373757446,1.0,0,1,0,0,1
48,0.016,0.9750000000000001,0.0,False,0.5,0.08635685884691849,1.0,0,1,0,0,1
49,0.016,0.875,0.444,True,0.5,0.024478131212723655,0.9750000000000001,0,1,0,1,0
50,0.016,0.875,0.083,False,0.41700000000000004,0.019073061630218685,0.95,1,0,0,0,1
51,0.008,0.75,0.0,False,0.0,0.06833996023856859,1.0,1,0,0,0,1
52,0.008,0.875,0.25,True,0.0,0.01658797216699801,0.825,1,0,0,0,1
53,0.232,0.825,0.01,True,0.604,0.02348409542743539,0.8999999999999999,0,0,1,0,1
54,0.032,0.875,0.0,False,0.929,0.008884194831013915,0.825,0,0,1,0,1
55,0.04,0.9750000000000001,0.0,True,0.632,0.02615556660039761,0.875,0,0,1,0,1
56,0.048,1.0,0.167,False,0.667,0.029075546719681905,0.95,0,1,0,0,1
57,0.008,1.0,0.0,False,0.0,0.04243290258449304,1.0,0,0,1,1,0
58,0.016,1.0,0.0,True,0.0,0.018141153081510934,1.0,1,0,0,0,1
59,0.008,0.675,0.1,False,0.7000000000000001,0.04404821073558648,0.9750000000000001,0,0,1,0,1
60,0.0,1.0,0.0,False,1.0,0.02864065606361829,1.0,1,0,0,1,0
61,0.0,0.9750000000000001,0.21100000000000002,False,0.158,0.021496023856858844,0.925,0,0,1,1,0
62,0.008,1.0,0.0,False,0.0,0.048894135188866795,0.75,1,0,0,1,0
63,0.024,1.0,0.0,False,1.0,0.03541252485089463,1.0,0,0,1,0,1
64,0.016,1.0,0.0,True,0.429,0.01776838966202783,1.0,0,1,0,0,1
65,0.008,0.9750000000000001,0.0,True,1.0,0.08902833001988071,1.0,1,0,0,0,1
66,0.0,1.0,0.0,False,1.0,0.03882952286282306,1.0,1,0,0,0,1
67,0.032,1.0,0.0,True,0.0,0.01702286282306163,0.75,0,0,1,0,1
68,0.008,0.9750000000000001,0.0,False,1.0,0.097477634194831,0.25,0,0,1,0,1
69,0.064,0.8500000000000001,0.0,False,0.882,0.022614314115308152,0.925,0,0,1,0,1
70,0.0,0.0,0.0,True,0.0,0.013233101391650098,1.0,1,0,0,1,0
71,0.024,0.95,0.0,False,0.667,0.03497763419483101,0.95,0,0,1,1,0
72,0.0,1.0,0.0,True,0.0,0.06281063618290257,1.0,0,0,1,0,1
73,0.008,1.0,1.0,False,0.0,0.04814860834990059,1.0,0,0,1,1,0
74,0.016,0.95,0.161,False,0.8059999999999999,0.04876988071570576,0.8999999999999999,0,0,1,0,1
75,0.016,0.75,0.0,True,0.167,0.07511182902584493,0.8,1,0,0,0,1
76,0.0,0.75,0.33299999999999996,False,1.0,0.03553677932405566,1.0,0,0,1,0,1
77,0.048,1.0,0.048,False,0.619,0.016898608349900594,0.925,0,0,1,0,1
78,0.0,0.9750000000000001,0.0,True,1.0,0.023608349900596418,1.0,0,0,1,1,0
79,0.008,0.9750000000000001,0.0,False,0.0,0.02957256461232604,1.0,0,1,0,1,0
80,0.064,0.9750000000000001,0.308,False,0.154,0.019135188866799203,0.9750000000000001,1,0,0,1,0
81,0.008,0.9750000000000001,0.0,True,0.5,0.16289761431411529,1.0,0,1,0,0,1
82,0.008,0.9750000000000001,1.0,False,0.0,0.09169980119284293,1.0,0,1,0,0,1
83,0.008,0.9750000000000001,0.0,False,1.0,0.03814612326043737,1.0,0,0,1,1,0
84,0.0,0.575,0.111,True,0.222,0.05827534791252485,0.75,0,1,0,0,1
85,0.008,0.9750000000000001,0.0,False,1.0,0.06709741550695825,1.0,1,0,0,0,1
86,0.008,0.9750000000000001,0.0,True,1.0,0.33915258449304175,1.0,0,0,1,0,1
87,0.0,0.9750000000000001,1.0,False,0.0,0.0172713717693837,1.0,0,0,1,0,1
88,0.032,1.0,0.045,True,0.773,0.02335984095427435,0.925,1,0,0,0,1
89,0.0,0.5,0.0,False,1.0,0.04342693836978131,0.925,1,0,0,0,1
90,0.0,1.0,0.25,False,0.5,0.01696073558648111,1.0,0,1,0,0,1
91,0.024,1.0,0.0,True,0.4,0.019880715705765408,0.875,0,0,1,0,1
92,0.008,0.9750000000000001,0.0,False,1.0,0.015096918489065607,1.0,1,0,0,0,1
93,0.0,1.0,0.0,True,0.5,0.14053180914512922,1.0,0,0,1,0,1
94,0.016,1.0,0.0,False,1.0,0.009008449304174949,0.75,0,0,1,0,1
95,0.0,1.0,0.0,True,0.41200000000000003,0.007641650099403578,1.0,0,1,0,0,1
96,0.008,0.9750000000000001,0.0,True,1.0,0.10176441351888667,1.0,0,0,1,1,0
97,0.024,0.925,0.0,True,0.0,0.014475646123260437,1.0,0,0,1,0,1
98,0.008,0.9750000000000001,1.0,False,1.0,0.023111332007952283,1.0,0,0,1,0,1
99,0.0,0.825,0.111,False,0.778,0.038270377733598406,1.0,1,0,0,0,1
100,0.008,1.0,0.0,False,0.667,0.07709990059642147,1.0,0,0,1,0,1
101,0.016,0.75,0.0,False,1.0,0.01522117296222664,1.0,0,1,0,0,1
102,0.008,1.0,0.0,False,1.0,0.021558151093439365,1.0,0,0,1,0,1
103,0.008,0.25,0.0,False,0.5,0.022614314115308152,1.0,1,0,0,1,0
104,0.016,1.0,0.0,False,0.5,0.12736083499005962,1.0,0,0,1,0,1
105,0.0,0.75,0.0,False,1.0,0.04839711729622266,1.0,0,0,1,0,1
106,0.04,1.0,0.0,True,0.8,0.014972664015904573,1.0,1,0,0,0,1
107,0.0,0.575,0.13,True,0.261,0.02572067594433399,0.9750000000000001,1,0,0,0,1
108,0.0,0.925,0.0,True,0.8,0.05460984095427435,0.8999999999999999,1,0,0,0,1
109,0.008,1.0,0.0,False,1.0,0.017333499005964214,1.0,0,0,1,0,1
110,0.048,0.925,0.059000000000000004,True,0.41200000000000003,0.012922465208747515,0.95,0,1,0,1,0
111,0.008,1.0,0.25,True,0.25,0.028019383697813118,0.875,1,0,0,1,0
112,0.0,0.875,0.0,False,0.5,0.031933399602385684,0.95,0,1,0,0,1
113,0.008,0.9750000000000001,0.0,True,1.0,0.010375248508946321,0.875,0,0,1,0,1
114,0.008,0.375,0.0,False,0.5,0.010748011928429422,0.75,0,0,1,1,0
115,0.008,0.9750000000000001,0.0,False,1.0,0.05610089463220675,1.0,0,0,1,0,1
116,0.0,0.75,0.0,False,0.0,0.03125,1.0,0,0,1,0,1
117,0.024,1.0,0.0,True,0.0,0.019135188866799203,1.0,0,0,1,0,1
118,0.024,0.925,0.3,False,0.9,0.013170974155069582,0.925,1,0,0,1,0
119,0.0,0.675,0.0,False,0.4,0.09443339960238567,0.7,1,0,0,1,0
120,0.0,1.0,0.0,False,0.33299999999999996,0.08859343936381708,0.825,0,1,0,0,1
121,0.008,0.75,0.0,False,1.0,0.04715457256461232,1.0,0,0,1,0,1
122,0.008,0.925,0.4,False,0.6,0.043986083499005964,1.0,1,0,0,1,0
123,0.0,0.9750000000000001,0.0,True,1.0,0.021371769383697812,1.0,1,0,0,0,1
124,0.016,0.825,0.0,False,0.5,0.012487574552683895,0.825,1,0,0,0,1
125,0.064,0.8999999999999999,0.125,True,0.6559999999999999,0.020626242544731607,1.0,0,1,0,0,1
126,0.0,1.0,0.0,False,1.0,0.03230616302186878,1.0,0,0,1,1,0
127,0.08,0.9750000000000001,0.0,False,0.75,0.008511431411530814,0.95,0,0,1,0,1
128,0.008,0.875,0.125,False,0.875,0.012611829025844928,0.825,1,0,0,0,1
129,0.0,0.825,0.0,False,0.5,0.031933399602385684,0.925,0,0,1,0,1
130,0.0,0.0,0.0,True,1.0,0.013108846918489063,1.0,0,0,1,0,1
131,0.0,0.9750000000000001,0.0,False,0.0,0.007020377733598408,1.0,1,0,0,0,1
132,0.032,1.0,0.077,True,0.538,0.038643141153081505,0.875,1,0,0,0,1
133,0.088,0.95,0.079,True,0.658,0.015966699801192842,0.875,1,0,0,0,1
134,0.0,0.95,0.2,False,0.2,0.029448310139165008,0.8999999999999999,0,0,1,0,1
135,0.016,0.7,0.083,True,0.41700000000000004,0.04454522862823061,0.925,0,1,0,0,1
136,0.008,0.9750000000000001,0.0,True,1.0,0.021558151093439365,1.0,0,0,1,1,0
137,0.0,1.0,0.0,False,1.0,0.02398111332007952,1.0,1,0,0,1,0
138,0.008,1.0,0.0,True,1.0,0.0798334990059642,0.75,0,0,1,1,0
139,0.0,0.9750000000000001,0.0,False,0.0,0.013854373757455267,0.95,0,0,1,1,0
140,0.08,0.8999999999999999,0.109,False,0.63,0.029883200795228628,0.9750000000000001,0,0,1,0,1
141,0.0,0.9750000000000001,0.0,False,1.0,0.05610089463220675,1.0,0,0,1,1,0
142,0.016,0.9750000000000001,0.222,False,0.611,0.011928429423459242,1.0,0,1,0,0,1
143,0.0,0.675,0.125,True,0.25,0.011120775347912525,0.8999999999999999,1,0,0,0,1
144,0.0,0.925,0.167,False,0.41700000000000004,0.01963220675944334,0.95,1,0,0,0,1
145,0.0,1.0,0.33299999999999996,True,0.0,0.010872266401590457,1.0,1,0,0,0,1
146,0.008,0.9750000000000001,0.0,True,0.0,0.07343439363817097,1.0,1,0,0,1,0
147,0.0,0.9750000000000001,0.0,True,1.0,0.026093439363817097,1.0,0,1,0,0,1
148,0.008,0.9750000000000001,0.0,False,1.0,0.025347912524850892,1.0,0,0,1,1,0
149,0.032,0.925,0.13,False,0.348,0.02099900596421471,0.925,1,0,0,0,1
150,0.0,1.0,0.0,True,1.0,0.0044731610337972166,1.0,1,0,0,0,1
151,0.008,1.0,0.0,False,0.0,0.021682405566600397,0.75,1,0,0,0,1
152,0.272,0.825,0.004,True,0.6950000000000001,0.021930914512922464,0.8999999999999999,1,0,0,0,1
153,0.0,0.9750000000000001,0.0,False,1.0,0.04510437375745526,0.75,1,0,0,0,1
154,0.016,0.8500000000000001,0.4,True,0.0,0.01341948310139165,0.8999999999999999,0,1,0,0,1
155,0.0,0.8500000000000001,0.111,True,0.778,0.010126739562624254,0.75,0,1,0,0,1
156,0.0,1.0,0.0,True,0.0,0.009319085487077534,0.5,0,0,1,1,0
157,0.008,0.5,0.0,False,1.0,0.0,1.0,1,0,0,0,1
158,0.0,0.9750000000000001,0.0,False,1.0,0.14804920477137173,1.0,0,0,1,1,0
159,0.056,0.925,0.028999999999999998,True,0.353,0.016463717693836977,0.925,1,0,0,0,1
160,0.032,0.7749999999999999,0.231,False,0.385,0.012176938369781311,0.9750000000000001,0,0,1,0,1
161,0.0,0.8999999999999999,0.0,False,1.0,0.021496023856858844,1.0,0,0,1,1,0
162,0.048,0.7749999999999999,0.0,True,0.9,0.05684642147117296,0.875,0,0,1,0,1
163,0.016,0.9750000000000001,1.0,False,0.0,0.0037276341948310142,1.0,0,1,0,0,1
164,0.008,0.9750000000000001,1.0,False,0.0,0.013667992047713717,1.0,0,0,1,1,0
165,0.024,0.9750000000000001,0.0,False,0.647,0.0091948310139165,0.925,1,0,0,1,0
166,0.024,0.5,0.0,False,0.0,0.024726640159045722,1.0,0,0,1,1,0
167,0.0,1.0,0.0,False,1.0,0.029448310139165008,1.0,1,0,0,0,1
168,0.008,1.0,1.0,False,1.0,0.025223658051689857,1.0,0,0,1,0,1
169,0.032,1.0,0.11800000000000001,True,0.706,0.03466699801192843,0.9750000000000001,0,1,0,0,1
170,0.0,1.0,0.0,False,0.5,0.029137673956262426,1.0,0,0,1,0,1
171,0.008,1.0,0.0,True,0.0,0.08318836978131212,1.0,0,1,0,0,1
172,0.0,1.0,0.462,True,0.077,0.018327534791252483,1.0,0,1,0,0,1
173,0.016,1.0,0.0,True,0.8,0.02615556660039761,1.0,0,1,0,1,0
174,0.0,1.0,0.0,False,0.5,0.01615308151093439,1.0,0,0,1,1,0
175,0.0,1.0,0.28600000000000003,False,0.5710000000000001,0.01615308151093439,0.9750000000000001,0,1,0,0,1
176,0.008,0.5,0.0,False,1.0,0.02839214711729622,1.0,1,0,0,1,0
177,0.024,0.95,0.313,False,0.5,0.01298459244532803,0.9750000000000001,0,1,0,1,0
178,0.008,1.0,0.0,False,1.0,0.009629721669980119,1.0,0,0,1,0,1
179,0.048,0.875,0.33299999999999996,False,0.833,0.02652833001988071,1.0,0,0,1,1,0
180,0.008,0.5,0.0,False,0.0,0.030318091451292245,1.0,0,0,1,0,1
181,0.0,0.9750000000000001,0.0,False,0.0,0.02162027833001988,1.0,1,0,0,1,0
182,0.008,1.0,0.0,True,0.0,0.0058399602385685884,1.0,1,0,0,1,0
183,0.024,0.925,0.028999999999999998,True,0.514,0.03267892644135188,0.8999999999999999,0,0,1,0,1
184,0.008,0.9750000000000001,0.0,False,1.0,0.050260934393638164,1.0,0,0,1,0,1
185,0.0,1.0,0.0,False,1.0,0.023608349900596418,0.625,1,0,0,0,1
