,active_status
31333,N
46154,Y
44604,N
44045,N
35014,N
15593,Y
21464,Y
15877,Y
30140,N
1783,N
4132,Y
11505,Y
17303,Y
37954,N
41734,Y
15953,Y
36138,Y
45799,Y
45646,N
11995,N
2529,N
13698,N
27419,N
31616,N
30729,N
7251,Y
15699,Y
28455,N
11965,N
31921,Y
15129,N
48293,Y
20611,N
2885,N
3111,N
49515,Y
41697,Y
13467,N
6670,Y
13506,N
43457,N
38731,N
12010,N
30564,N
42444,N
17809,Y
401,Y
25183,Y
42260,Y
2106,Y
13456,Y
40965,Y
7342,N
17206,Y
410,Y
32361,N
40242,N
27211,N
49279,N
38997,Y
47059,N
13500,Y
45741,N
32874,N
163,Y
23547,N
20626,N
13433,Y
9586,Y
48038,N
41851,N
16176,Y
42474,N
4724,N
8795,Y
49521,N
4564,N
39546,N
33002,N
2750,N
33237,N
18009,N
37824,N
23478,N
33821,Y
20056,N
34588,N
34901,Y
46915,N
15901,N
35667,Y
39926,Y
751,N
34967,Y
37669,N
40315,Y
47803,N
14385,N
12815,N
18734,N
13690,N
14995,Y
44815,N
38561,N
21160,N
19287,N
15744,N
45269,Y
48779,N
14887,N
15000,Y
6581,N
6621,N
11487,N
44248,N
43461,N
37868,Y
46675,N
38292,N
9838,N
27449,Y
29305,N
36661,N
14396,N
29329,Y
33723,Y
14293,N
28525,N
41761,N
11422,Y
169,N
32792,Y
11093,Y
19991,Y
25948,N
37301,Y
38575,N
10657,N
35029,N
22763,N
7430,Y
32639,N
36977,Y
10675,Y
46003,N
12042,N
1350,N
2830,Y
17680,N
34670,Y
15838,N
36832,N
28719,Y
21786,Y
16911,Y
1261,Y
34656,N
43720,N
38024,N
26858,Y
46629,Y
45765,N
34716,Y
48117,Y
20055,N
42032,Y
30138,N
47724,N
13728,N
14795,Y
45901,Y
23200,N
30314,Y
41131,Y
14461,N
27342,Y
36964,N
22219,Y
28853,N
12402,N
26138,N
47702,N
48851,N
9875,Y
7672,N
29077,Y
30304,Y
604,Y
32122,Y
9661,Y
3036,N
33663,Y
5279,N
15492,N
44750,N
38069,N
39980,Y
23913,N
26632,N
12735,Y
38070,Y
14847,N
44310,Y
9411,N
8095,N
14299,Y
24230,N
36008,N
19586,Y
27599,Y
23018,Y
9993,Y
13577,Y
31595,Y
47601,N
17392,N
46277,N
4270,N
19909,N
47487,N
